77	31	111
20	20	3
78	20	58
78	21	97
115	50	99
48	22	101
30	50	44
76	31	137
130	31	137
78	31	137
145	31	137
64	29	22
26	29	22
22	29	64
111	31	56
78	48	87
78	48	111
78	48	66
149	48	87
149	50	57
149	48	111
4	19	28
54	1	126
130	31	38
74	30	91
58	30	91
3	30	91
61	30	91
53	21	47
73	31	136
6	31	126
149	21	54
17	31	126
78	48	31
91	48	87
91	48	31
91	21	54
78	21	54
149	48	66
78	31	11
144	31	11
11	50	78
78	38	11
78	20	3
78	50	3
3	7	78
3	31	78
12	31	26
91	48	118
91	48	66
90	22	81
78	22	81
91	31	121
119	48	66
29	41	68
145	31	22
145	30	135
145	31	142
145	31	135
78	20	57
78	21	102
78	48	113
112	31	78
99	31	45
40	31	149
50	31	94
54	31	44
94	22	19
58	31	149
50	22	58
44	31	149
84	31	44
50	31	58
50	20	59
149	22	54
133	20	145
145	22	22
133	50	145
44	31	22
61	31	78
78	50	61
78	48	128
28	29	126
149	40	28
78	29	149
76	31	22
30	31	22
78	48	55
78	48	62
119	48	62
119	48	55
119	48	118
75	31	135
26	8	137
20	48	111
110	1	131
96	1	110
101	31	110
30	31	110
132	31	110
140	31	110
59	31	131
149	21	4
149	48	112
78	22	66
78	22	111
149	22	111
66	31	149
54	31	126
34	31	126
28	50	108
34	40	126
70	48	111
56	48	111
126	29	149
149	21	29
87	48	149
149	50	3
4	31	126
91	22	111
97	30	49
145	31	23
78	31	124
23	31	124
105	31	22
91	46	114
144	31	142
78	48	60
22	50	145
90	41	124
60	31	61
121	23	22
70	20	57
65	30	14
14	20	106
12	1	14
75	31	14
95	20	42
95	20	130
145	31	95
147	31	95
95	20	38
42	31	147
95	20	147
144	43	95
77	31	95
38	31	95
75	31	95
91	41	117
40	30	64
71	31	126
92	31	126
72	31	126
62	31	61
20	20	61
121	31	136
58	21	99
22	29	22
23	50	145
149	48	31
91	48	61
149	50	4
149	20	58
4	22	58
29	48	111
29	31	11
68	31	11
91	31	117
78	46	114
26	31	114
125	40	7
149	41	7
78	48	54
19	31	110
3	30	53
37	31	110
40	30	78
84	30	78
61	30	78
78	41	114
57	30	78
74	30	78
78	21	92
44	31	78
111	31	78
92	22	58
90	45	114
57	31	78
58	31	78
91	20	61
61	31	91
78	40	28
54	29	72
149	21	17
91	31	45
149	22	31
20	40	45
30	7	99
136	29	149
149	48	113
88	31	80
149	21	139
59	30	139
54	7	111
47	31	22
30	31	133
133	22	30
133	31	22
91	29	22
144	31	23
91	41	90
23	20	144
57	9	91
91	48	67
91	48	16
91	21	4
91	22	60
136	29	22
105	30	22
145	31	14
90	23	22
22	8	136
133	50	30
90	31	114
